id,year,ID,state,state name,oil vol (bbl),gas vol (tcf),price oil (pb),price gas (pkcf),un prov res,sqmiles,avg pi,res per pi,increase,res per sq m,Population (000),pi,non min pi (thousands),min earn (thousands),res rev,non res rev,inc tax rev,tot exp,exp per pop,tot edu exp,savings,resrevpi,nonresrevpi,inc tax pi,totexppi,edu exp pi,savings pi,resrevpi2,nonresrevpi2,inc tax rev pi 2,tot exp pi 2,tot edu exp pi 2,savings pi 2
OH1959,1959,36-2,36,OH,0.028486069,9.629084426,17.16082474,0.769278351,7.896290617,41256.24,159856,0.000049,0,0.000191396,"9,671.00",22299,"22,167,114.00","131,886.00","10,754.00","1,606,315.00",0,"1,701,269.00",175.91,"268,294.00","-84,200.00",0.0005,0.072,0,0.0763,0.012,-0.0038,0.0005,0.0725,0,0.0767,0.0121,-0.0038
OK1959,1959,37-2,37,OK,0.531002624,30.2623191,17.16082474,0.769278351,32.39258989,69900.14,42287,0.000766,0,0.000463412,"2,289.00",4244,"3,931,205.00","312,795.00","44,405.00","435,557.00","26,241.00","471,396.00",205.94,"119,512.00","8,566.00",0.0105,0.1026,0.0062,0.1111,0.0282,0.002,0.0113,0.1108,0.0067,0.1199,0.0304,0.0022
OR1959,1959,38-2,38,OR,0.022062439,1.994210966,17.16082474,0.769278351,1.912712976,97076.81,44398,0.000043,0,1.97E-05,"1,746.00",3891,"3,882,311.00","8,689.00","12,832.00","405,357.00","93,394.00","428,929.00",245.66,"101,986.00","-10,740.00",0.0033,0.1042,0.024,0.1102,0.0262,-0.0028,0.0033,0.1044,0.0241,0.1105,0.0263,-0.0028
PA1959,1959,39-2,39,PA,0.010969377,15.00057548,17.16082474,0.769278351,11.72786151,45292.96,181870,0.000064,0,0.000258933,"11,234.00",25066,"24,664,018.00","401,982.00","15,936.00","1,814,372.00","128,102.00","2,077,732.00",184.95,"457,489.00","-247,424.00",0.0006,0.0724,0.0051,0.0829,0.0183,-0.0099,0.0006,0.0736,0.0052,0.0842,0.0185,-0.01
RI1959,1959,40-2,40,RI,0,0,17.16082474,0.769278351,0,1086.87,15381,0,1,0,857,1893,"1,892,046.00",954,"1,008.00","146,704.00","7,555.00","163,738.00",191.06,"26,711.00","-16,026.00",0.0005,0.0775,0.004,0.0865,0.0141,-0.0085,0.0005,0.0775,0.004,0.0865,0.0141,-0.0085
SC1959,1959,41-2,41,SC,0,0.768169416,17.16082474,0.769278351,0.590936102,30941.68,45659,0.000013,0,1.91E-05,"2,348.00",3245,"3,237,861.00","7,139.00","4,498.00","319,459.00","32,567.00","327,411.00",139.44,"111,310.00","-3,454.00",0.0014,0.0984,0.01,0.1009,0.0343,-0.0011,0.0014,0.0987,0.0101,0.1011,0.0344,-0.0011
SD1959,1959,42-2,42,SD,1.851783897,2.308430942,17.16082474,0.769278351,33.55396487,77116.22,9727,0.00345,1,0.000435109,667,1044,"1,030,170.00","13,830.00","5,847.00","106,506.00",378,"109,705.00",164.48,"24,004.00","2,648.00",0.0056,0.102,0.0004,0.1051,0.023,0.0025,0.0057,0.1034,0.0004,0.1065,0.0233,0.0026
TN1959,1959,43-2,43,TN,0.028679416,6.190773463,17.16082474,0.769278351,5.254590438,42142.36,69544,0.000076,1,0.000124687,"3,522.00",5650,"5,613,571.00","36,429.00","4,828.00","461,819.00","21,288.00","479,244.00",136.07,"134,326.00","-12,597.00",0.0009,0.0817,0.0038,0.0848,0.0238,-0.0022,0.0009,0.0823,0.0038,0.0854,0.0239,-0.0022
TX1959,1959,44-2,44,TX,2.934997748,218.0011834,17.16082474,0.769278351,218.0705727,264778.77,264658,0.000824,0,0.000823595,"9,405.00",18313,"17,381,807.00","931,193.00","270,326.00","1,017,718.00",0,"1,273,393.00",135.4,"453,285.00","14,651.00",0.0148,0.0556,0,0.0695,0.0248,0.0008,0.0156,0.0586,0,0.0733,0.0261,0.0008
UT1959,1959,45-2,45,UT,1.044889529,22.45665591,17.16082474,0.769278351,35.20658529,84898.13,24497,0.001437,1,0.000414692,870,1710,"1,625,043.00","84,957.00","6,553.00","172,503.00","17,646.00","178,015.00",204.61,"60,279.00","1,041.00",0.0038,0.1009,0.0103,0.1041,0.0353,0.0006,0.004,0.1062,0.0109,0.1095,0.0371,0.0006
VA1959,1959,47-2,47,VA,0.003475731,5.541559594,17.16082474,0.769278351,4.322648232,39995.61,104455,0.000041,0,0.000108078,"3,951.00",7322,"7,241,069.00","80,931.00","7,920.00","544,943.00","96,076.00","575,327.00",145.62,"148,157.00","-22,464.00",0.0011,0.0744,0.0131,0.0786,0.0202,-0.0031,0.0011,0.0753,0.0133,0.0795,0.0205,-0.0031
VT1959,1959,46-2,46,VT,0,0.002958913,17.16082474,0.769278351,0.002276227,9614.43,7935,0,0,2.37E-07,387,703,"696,856.00","6,144.00","1,226.00","75,705.00","11,548.00","87,971.00",227.32,"16,790.00","-11,040.00",0.0017,0.1077,0.0164,0.1251,0.0239,-0.0157,0.0018,0.1086,0.0166,0.1262,0.0241,-0.0158
WA1959,1959,48-2,48,WA,0.004679132,2.557056071,17.16082474,0.769278351,2.047385643,67620.68,83877,0.000024,0,3.03E-05,"2,821.00",6662,"6,648,761.00","13,239.00","10,666.00","772,885.00",0,"783,265.00",277.66,"233,228.00",286,0.0016,0.116,0,0.1176,0.035,0,0.0016,0.1162,0,0.1178,0.0351,0
WI1959,1959,50-2,50,WI,0.230204396,2.624349402,17.16082474,0.769278351,5.969352472,56103.98,74211,0.00008,0,0.000106398,"3,891.00",8609,"8,585,662.00","23,338.00","10,373.00","600,530.00","169,637.00","626,156.00",160.92,"134,172.00","-15,253.00",0.0012,0.0698,0.0197,0.0727,0.0156,-0.0018,0.0012,0.0699,0.0198,0.0729,0.0156,-0.0018
WV1959,1959,49-2,49,WV,0.006533298,8.93232499,17.16082474,0.769278351,6.983561016,24229.88,20937,0.000334,0,0.000288221,"1,855.00",3011,"2,627,159.00","383,841.00","2,537.00","320,819.00",0,"347,846.00",187.52,"96,282.00","-24,490.00",0.0008,0.1065,0,0.1155,0.032,-0.0081,0.001,0.1221,0,0.1324,0.0366,-0.0093
WY1959,1959,51-2,51,WY,0.717686052,84.95068229,17.16082474,0.769278351,77.6668053,97813.89,7359,0.010554,0,0.000794026,320,728,"662,256.00","65,744.00","8,413.00","99,252.00",0,"104,986.00",328.08,"21,531.00","2,679.00",0.0116,0.1363,0,0.1442,0.0296,0.0037,0.0127,0.1499,0,0.1585,0.0325,0.004
AK1960,1960,2-Feb,2,AK,#N/A,#N/A,16.75459459,0.814459459,#N/A,581369.17,9776,#N/A,0,#N/A,229,701,"689,666.00","11,334.00","3,008.00","71,638.00","10,595.00","56,109.00",245.02,"21,930.00","18,537.00",0.0043,0.1022,0.0151,0.08,0.0313,0.0264,0.0044,0.1039,0.0154,0.0814,0.0318,0.0269
AL1960,1960,2-Jan,1,AL,0.238838267,29.12893078,16.75459459,0.814459459,27.72597156,51649.05,51730,0.000536,1,0.000536815,"3,274.00",5040,"4,963,319.00","76,681.00","6,208.00","537,478.00","36,807.00","565,342.00",172.68,"174,281.00","-21,656.00",0.0012,0.1066,0.0073,0.1122,0.0346,-0.0043,0.0013,0.1083,0.0074,0.1139,0.0351,-0.0044
