id,year,ID,state,state name,oil vol (bbl),gas vol (tcf),price oil (pb),price gas (pkcf),un prov res,sqmiles,avg pi,res per pi,increase,res per sq m,Population (000),pi,non min pi (thousands),min earn (thousands),res rev,non res rev,inc tax rev,tot exp,exp per pop,tot edu exp,savings,resrevpi,nonresrevpi,inc tax pi,totexppi,edu exp pi,savings pi,resrevpi2,nonresrevpi2,inc tax rev pi 2,tot exp pi 2,tot edu exp pi 2,savings pi 2
KS1962,1962,17-2,17,KS,0.426503298,11.18250528,16.53576159,0.912317881,17.25455638,82277.97,37067,0.000465,1,0.000209711,"2,231.00",5081,"4,987,729.00","93,271.00","4,283.00","373,898.00","36,060.00","375,121.00",168.14,"116,847.00","3,060.00",0.0008,0.0736,0.0071,0.0738,0.023,0.0006,0.0009,0.075,0.0072,0.0752,0.0234,0.0006
KY1962,1962,18-2,18,KY,0.030251886,4.769580232,16.53576159,0.912317881,4.851611296,40409.65,47041,0.000103,1,0.000120061,"3,079.00",5558,"5,393,029.00","164,971.00","13,303.00","518,254.00","57,938.00","679,282.00",220.62,"182,212.00","-147,725.00",0.0024,0.0932,0.0104,0.1222,0.0328,-0.0266,0.0025,0.0961,0.0107,0.126,0.0338,-0.0274
LA1962,1962,19-2,19,LA,0.459191611,40.80654176,16.53576159,0.912317881,44.82162071,46776.06,53553,0.000837,0,0.000958217,"3,345.00",6012,"5,687,052.00","324,948.00","155,231.00","723,187.00","42,149.00","889,077.00",265.79,"276,811.00","-10,659.00",0.0258,0.1203,0.007,0.1479,0.046,-0.0018,0.0273,0.1272,0.0074,0.1563,0.0487,-0.0019
MA1962,1962,22-2,22,MA,0,0.000665715,16.53576159,0.912317881,0.000607344,8103.95,110865,0,0,7.49E-08,"5,263.00",14306,"14,295,005.00","10,995.00","5,803.00","977,615.00","211,093.00","974,131.00",185.09,"121,805.00","9,287.00",0.0004,0.0683,0.0148,0.0681,0.0085,0.0006,0.0004,0.0684,0.0148,0.0681,0.0085,0.0006
MD1962,1962,21-2,21,MD,0.000418835,0.72493373,16.53576159,0.912317881,0.668295764,9899.54,87156,0.000008,0,6.75E-05,"3,263.00",8400,"8,381,642.00","18,358.00","7,201.00","645,292.00","119,079.00","631,831.00",193.63,"176,187.00","20,662.00",0.0009,0.0768,0.0142,0.0752,0.021,0.0025,0.0009,0.077,0.0142,0.0754,0.021,0.0025
ME1962,1962,20-2,20,ME,0,0,16.53576159,0.912317881,0,32489.12,16347,0,0,0,994,1952,"1,950,216.00","1,784.00","3,100.00","198,146.00",0,"200,322.00",201.53,"39,722.00",924,0.0016,0.1015,0,0.1026,0.0203,0.0005,0.0016,0.1016,0,0.1027,0.0204,0.0005
MI1962,1962,23-2,23,MI,0.415027316,4.785279721,16.53576159,0.912317881,11.22848901,58128.82,140139,0.00008,0,0.000193166,"7,933.00",20590,"20,490,072.00","99,928.00","15,625.00","1,813,081.00",0,"1,865,245.00",235.12,"582,769.00","-36,539.00",0.0008,0.0881,0,0.0906,0.0283,-0.0018,0.0008,0.0885,0,0.091,0.0284,-0.0018
MN1962,1962,24-2,24,MN,0.028953992,0.243213532,16.53576159,0.912317881,0.700664362,84376.21,73190,0.00001,0,8.30E-06,"3,513.00",8138,"8,021,982.00","116,018.00","36,293.00","666,662.00","157,811.00","690,060.00",196.43,"252,980.00","12,895.00",0.0045,0.0819,0.0194,0.0848,0.0311,0.0016,0.0045,0.0831,0.0197,0.086,0.0315,0.0016
MO1962,1962,26-2,26,MO,0.024463253,0.611396924,16.53576159,0.912317881,0.962306868,69702.89,74990,0.000013,0,1.38E-05,"4,357.00",10320,"10,272,389.00","47,611.00","6,831.00","694,591.00","83,756.00","665,562.00",152.76,"185,631.00","35,860.00",0.0007,0.0673,0.0081,0.0645,0.018,0.0035,0.0007,0.0676,0.0082,0.0648,0.0181,0.0035
MS1962,1962,25-2,25,MS,0.33496284,33.90408534,16.53576159,0.912317881,36.47016896,47675.31,29216,0.001248,0,0.00076497,"2,243.00",3021,"2,979,146.00","41,854.00","16,135.00","348,883.00","21,208.00","396,181.00",176.63,"138,554.00","-31,163.00",0.0053,0.1155,0.007,0.1311,0.0459,-0.0103,0.0054,0.1171,0.0071,0.133,0.0465,-0.0105
MT1962,1962,27-2,27,MT,2.442936563,22.42950468,16.53576159,0.912317881,60.85865476,147042.71,10814,0.005628,0,0.000413884,698,1645,"1,597,125.00","47,875.00","7,674.00","170,441.00","18,744.00","170,929.00",244.88,"46,035.00","7,186.00",0.0047,0.1036,0.0114,0.1039,0.028,0.0044,0.0048,0.1067,0.0117,0.107,0.0288,0.0045
NC1962,1962,34-2,34,NC,0,1.292201516,16.53576159,0.912317881,1.178898549,49339.57,99087,0.000012,0,2.39E-05,"4,707.00",8412,"8,392,630.00","19,370.00","14,632.00","818,327.00","152,250.00","793,586.00",168.6,"336,902.00","39,373.00",0.0017,0.0973,0.0181,0.0943,0.0401,0.0047,0.0017,0.0975,0.0181,0.0946,0.0401,0.0047
ND1962,1962,35-2,35,ND,3.881533345,4.392934312,16.53576159,0.912317881,68.19186251,70700.02,8471,0.00805,0,0.000964524,637,1517,"1,504,762.00","12,238.00","8,816.00","139,482.00","8,236.00","146,740.00",230.36,"40,802.00","1,558.00",0.0058,0.0919,0.0054,0.0967,0.0269,0.001,0.0059,0.0927,0.0055,0.0975,0.0271,0.001
NE1962,1962,28-2,28,NE,0.160779746,0.931552758,16.53576159,0.912317881,3.508487784,77353.01,23772,0.000148,0,4.54E-05,"1,464.00",3401,"3,385,038.00","15,962.00","5,260.00","192,179.00",0,"197,449.00",134.87,"39,463.00",-10,0.0015,0.0565,0,0.0581,0.0116,0,0.0016,0.0568,0,0.0583,0.0117,0
NH1962,1962,30-2,30,NH,0,0,16.53576159,0.912317881,0,9266.56,18352,0,0,0,632,1508,"1,506,046.00","1,954.00","1,181.00","134,532.00","1,689.00","128,337.00",203.06,"17,071.00","7,376.00",0.0008,0.0892,0.0011,0.0851,0.0113,0.0049,0.0008,0.0893,0.0011,0.0852,0.0113,0.0049
NJ1962,1962,31-2,31,NJ,0,0.002346065,16.53576159,0.912317881,0.002140357,7553.07,150585,0,0,2.83E-07,"6,376.00",18416,"18,384,899.00","31,101.00","11,094.00","960,682.00","31,723.00","902,483.00",141.54,"204,213.00","69,293.00",0.0006,0.0522,0.0017,0.049,0.0111,0.0038,0.0006,0.0523,0.0017,0.0491,0.0111,0.0038
NM1962,1962,32-2,32,NM,0.369951053,48.54193411,16.53576159,0.912317881,50.40309687,121588.62,19869,0.002537,0,0.000414538,979,1960,"1,819,079.00","140,921.00","32,263.00","246,576.00","12,814.00","261,954.00",267.57,"125,645.00","16,885.00",0.0165,0.1258,0.0065,0.1337,0.0641,0.0086,0.0177,0.1355,0.007,0.144,0.0691,0.0093
NV1962,1962,29-2,29,NV,0.983968242,1.247726361,16.53576159,0.912317881,17.40898734,110561.37,25995,0.00067,0,0.00015746,352,1134,"1,107,799.00","26,201.00","1,365.00","111,068.00",0,"106,756.00",303.28,"30,030.00","5,677.00",0.0012,0.0979,0,0.0941,0.0265,0.005,0.0012,0.1003,0,0.0964,0.0271,0.0051
NY1962,1962,33-2,33,NY,0.008341911,11.40777589,16.53576159,0.912317881,10.54545778,48578.82,325089,0.000032,0,0.000217079,"17,301.00",52264,"52,175,524.00","88,476.00","36,740.00","3,877,546.00","1,288,368.00","3,692,516.00",213.43,"1,034,598.00","221,770.00",0.0007,0.0742,0.0247,0.0707,0.0198,0.0042,0.0007,0.0743,0.0247,0.0708,0.0198,0.0043
OH1962,1962,36-2,36,OH,0.028486069,9.629084426,16.53576159,0.912317881,9.255824738,41256.24,159856,0.000058,0,0.00022435,"9,929.00",24926,"24,785,321.00","140,679.00","12,089.00","1,967,468.00",0,"1,819,295.00",183.23,"329,329.00","160,262.00",0.0005,0.0789,0,0.073,0.0132,0.0064,0.0005,0.0794,0,0.0734,0.0133,0.0065
OK1962,1962,37-2,37,OK,0.531002624,30.2623191,16.53576159,0.912317881,36.38938762,69900.14,42287,0.000861,1,0.000520591,"2,427.00",4815,"4,503,652.00","311,348.00","42,962.00","507,236.00","43,697.00","523,327.00",215.63,"150,903.00","26,871.00",0.0089,0.1053,0.0091,0.1087,0.0313,0.0056,0.0095,0.1126,0.0097,0.1162,0.0335,0.006
OR1962,1962,38-2,38,OR,0.022062439,1.994210966,16.53576159,0.912317881,2.184173558,97076.81,44398,0.000049,0,2.25E-05,"1,818.00",4438,"4,428,330.00","9,670.00","18,585.00","502,859.00","111,941.00","508,730.00",279.83,"133,920.00","12,714.00",0.0042,0.1133,0.0252,0.1146,0.0302,0.0029,0.0042,0.1136,0.0253,0.1149,0.0302,0.0029
PA1962,1962,39-2,39,PA,0.010969377,15.00057548,16.53576159,0.912317881,13.86668023,45292.96,181870,0.000076,0,0.000306155,"11,355.00",27633,"27,298,677.00","334,323.00","15,240.00","2,396,792.00","148,900.00","2,231,038.00",196.48,"552,387.00","180,994.00",0.0006,0.0867,0.0054,0.0807,0.02,0.0065,0.0006,0.0878,0.0055,0.0817,0.0202,0.0066
RI1962,1962,40-2,40,RI,0,0,16.53576159,0.912317881,0,1086.87,15381,0,1,0,871,2168,"2,166,836.00","1,164.00","1,040.00","173,206.00","9,483.00","174,984.00",200.9,"36,976.00",-738,0.0005,0.0799,0.0044,0.0807,0.0171,-0.0003,0.0005,0.0799,0.0044,0.0808,0.0171,-0.0003
SC1962,1962,41-2,41,SC,0,0.768169416,16.53576159,0.912317881,0.700814694,30941.68,45659,0.000015,0,2.26E-05,"2,423.00",3852,"3,844,568.00","7,432.00","5,547.00","393,458.00","47,350.00","373,466.00",154.13,"139,561.00","25,539.00",0.0014,0.1021,0.0123,0.097,0.0362,0.0066,0.0014,0.1023,0.0123,0.0971,0.0363,0.0066
SD1962,1962,42-2,42,SD,1.851783897,2.308430942,16.53576159,0.912317881,32.72667987,77116.22,9727,0.003365,0,0.000424381,705,1481,"1,466,069.00","14,931.00","4,867.00","137,957.00",466,"137,300.00",194.75,"27,638.00","5,524.00",0.0033,0.0932,0.0003,0.0927,0.0187,0.0037,0.0033,0.0941,0.0003,0.0937,0.0189,0.0038
TN1962,1962,43-2,43,TN,0.028679416,6.190773463,16.53576159,0.912317881,6.12218932,42142.36,69544,0.000088,1,0.000145274,"3,673.00",6521,"6,484,906.00","36,094.00","5,527.00","551,508.00","27,966.00","559,975.00",152.46,"174,436.00","-2,940.00",0.0008,0.0846,0.0043,0.0859,0.0267,-0.0005,0.0009,0.085,0.0043,0.0864,0.0269,-0.0005
TX1962,1962,44-2,44,TX,2.934997748,218.0011834,16.53576159,0.912317881,247.4188006,264778.77,264658,0.000935,0,0.000934436,"10,053.00",20871,"19,964,150.00","906,850.00","226,144.00","1,422,289.00",0,"1,473,232.00",146.55,"612,901.00","175,201.00",0.0108,0.0681,0,0.0706,0.0294,0.0084,0.0113,0.0712,0,0.0738,0.0307,0.0088
UT1962,1962,45-2,45,UT,1.044889529,22.45665591,16.53576159,0.912317881,37.76565286,84898.13,24497,0.001542,0,0.000444835,958,2132,"2,037,372.00","94,628.00","6,316.00","226,936.00","24,068.00","229,116.00",239.16,"97,318.00","4,136.00",0.003,0.1064,0.0113,0.1075,0.0456,0.0019,0.0031,0.1114,0.0118,0.1125,0.0478,0.002
VA1962,1962,47-2,47,VA,0.003475731,5.541559594,16.53576159,0.912317881,5.113137762,39995.61,104455,0.000049,0,0.000127842,"4,180.00",8740,"8,662,440.00","77,560.00","9,970.00","711,835.00","121,860.00","703,172.00",168.22,"193,331.00","18,633.00",0.0011,0.0814,0.0139,0.0805,0.0221,0.0021,0.0012,0.0822,0.0141,0.0812,0.0223,0.0022
VT1962,1962,46-2,46,VT,0,0.002958913,16.53576159,0.912317881,0.002699469,9614.43,7935,0,0,2.81E-07,393,813,"806,084.00","6,916.00","1,259.00","116,943.00","15,253.00","115,410.00",293.66,"23,087.00","2,792.00",0.0015,0.1438,0.0188,0.142,0.0284,0.0034,0.0016,0.1451,0.0189,0.1432,0.0286,0.0035
WA1962,1962,48-2,48,WA,0.004679132,2.557056071,16.53576159,0.912317881,2.410220989,67620.68,83877,0.000029,0,3.56E-05,"2,942.00",7829,"7,813,613.00","15,387.00","16,710.00","942,036.00",0,"913,414.00",310.47,"323,380.00","45,332.00",0.0021,0.1203,0,0.1167,0.0413,0.0058,0.0021,0.1206,0,0.1169,0.0414,0.0058
WI1962,1962,50-2,50,WI,0.230204396,2.624349402,16.53576159,0.912317881,6.200845893,56103.98,74211,0.000084,0,0.000110524,"4,049.00",9735,"9,709,306.00","25,694.00","10,100.00","758,063.00","198,237.00","754,780.00",186.41,"195,138.00","13,383.00",0.001,0.0779,0.0204,0.0775,0.02,0.0014,0.001,0.0781,0.0204,0.0777,0.0201,0.0014
WV1962,1962,49-2,49,WV,0.006533298,8.93232499,16.53576159,0.912317881,8.257152863,24229.88,20937,0.000394,0,0.000340784,"1,809.00",3235,"2,907,452.00","327,548.00","3,080.00","405,868.00","20,959.00","387,006.00",213.93,"109,127.00","21,942.00",0.001,0.1255,0.0065,0.1196,0.0337,0.0068,0.0011,0.1396,0.0072,0.1331,0.0375,0.0075
WY1962,1962,51-2,51,WY,0.717686052,84.95068229,16.53576159,0.912317881,89.36951188,97813.89,7359,0.012145,0,0.000913669,333,829,"763,239.00","65,761.00","4,096.00","120,420.00",0,"120,544.00",361.99,"30,439.00","3,972.00",0.0049,0.1453,0,0.1454,0.0367,0.0048,0.0054,0.1578,0,0.1579,0.0399,0.0052
AK1963,1963,2-Feb,2,AK,#N/A,#N/A,16.26333333,0.900392157,#N/A,581369.17,9776,#N/A,1,#N/A,256,790,"775,613.00","14,387.00","6,685.00","122,405.00","15,213.00","137,798.00",538.27,"39,345.00","-8,708.00",0.0085,0.1549,0.0193,0.1744,0.0498,-0.011,0.0086,0.1578,0.0196,0.1777,0.0507,-0.0112
AL1963,1963,2-Jan,1,AL,0.238838267,29.12893078,16.26333333,0.900392157,30.11176716,51649.05,51730,0.000582,0,0.000583007,"3,358.00",5822,"5,768,061.00","53,939.00","7,454.00","638,510.00","41,382.00","631,995.00",188.21,"211,819.00","13,969.00",0.0013,0.1097,0.0071,0.1086,0.0364,0.0024,0.0013,0.1107,0.0072,0.1096,0.0367,0.0024
AR1963,1963,2-Apr,4,AR,0.206604485,39.71688484,16.26333333,0.900392157,39.12084921,53178.77,29190,0.00134,0,0.000735648,"1,875.00",3069,"3,038,887.00","30,113.00","9,614.00","327,677.00","24,665.00","332,265.00",177.21,"91,739.00","5,026.00",0.0031,0.1068,0.008,0.1083,0.0299,0.0016,0.0032,0.1078,0.0081,0.1093,0.0302,0.0017
AZ1963,1963,2-Mar,3,AZ,0.095178147,0.35512544,16.26333333,0.900392157,1.867666085,113997.77,58999,0.000032,0,1.64E-05,"1,521.00",3358,"3,227,863.00","130,137.00","4,932.00","382,902.00","20,540.00","360,946.00",237.31,"121,936.00","26,888.00",0.0015,0.114,0.0061,0.1075,0.0363,0.008,0.0015,0.1186,0.0064,0.1118,0.0378,0.0083
CA1963,1963,2-May,5,CA,2.535059622,6.305284246,16.26333333,0.900392157,46.90574814,158144.83,512203,0.000092,0,0.0002966,"17,668.00",54775,"54,506,498.00","268,502.00","111,645.00","5,003,959.00","633,196.00","4,925,808.00",278.8,"1,597,575.00","189,796.00",0.002,0.0914,0.0116,0.0899,0.0292,0.0035,0.002,0.0918,0.0116,0.0904,0.0293,0.0035
CO1963,1963,2-Jun,6,CO,0.430213233,47.48585388,16.26333333,0.900392157,49.7525916,104093.95,61663,0.000807,1,0.000477959,"1,936.00",4894,"4,796,974.00","97,026.00","9,658.00","446,499.00","67,486.00","453,899.00",234.45,"149,450.00","2,258.00",0.002,0.0912,0.0138,0.0927,0.0305,0.0005,0.002,0.0931,0.0141,0.0946,0.0312,0.0005
CT1963,1963,2-Jul,7,CT,0,0.000664595,16.26333333,0.900392157,0.000598396,4962.77,66947,0,1,1.21E-07,"2,727.00",8488,"8,478,463.00","9,537.00","13,757.00","547,326.00","47,064.00","568,233.00",208.37,"120,869.00","-7,150.00",0.0016,0.0645,0.0055,0.0669,0.0142,-0.0008,0.0016,0.0646,0.0056,0.067,0.0143,-0.0008
DE1963,1963,2-Aug,8,DE,0,0,16.26333333,0.900392157,0,1975.78,11589,0,1,0,483,1475,"1,473,493.00","1,507.00","2,495.00","149,393.00","45,531.00","161,188.00",333.72,"69,157.00","-9,300.00",0.0017,0.1013,0.0309,0.1093,0.0469,-0.0063,0.0017,0.1014,0.0309,0.1094,0.0469,-0.0063
FL1963,1963,2-Oct,10,FL,0.361773636,8.548886872,16.26333333,0.900392157,13.58099593,56695.03,210394,0.000065,1,0.000239545,"5,628.00",12367,"12,312,819.00","54,181.00","13,383.00","913,879.00",0,"932,851.00",165.75,"323,446.00","-5,589.00",0.0011,0.0739,0,0.0754,0.0262,-0.0005,0.0011,0.0742,0,0.0758,0.0263,-0.0005
GA1963,1963,2-Nov,11,GA,0.000915037,2.240841564,16.26333333,0.900392157,2.032517725,58808.69,101118,0.00002,1,3.46E-05,"4,172.00",8121,"8,090,614.00","30,386.00","14,932.00","734,151.00","85,321.00","767,625.00",183.99,"286,806.00","-18,542.00",0.0018,0.0904,0.0105,0.0945,0.0353,-0.0023,0.0018,0.0907,0.0105,0.0949,0.0354,-0.0023
HI1963,1963,2-Dec,12,HI,#N/A,#N/A,16.26333333,0.900392157,#N/A,6429.38,17927,#N/A,0,#N/A,682,1846,"1,845,482.00",518,"6,468.00","243,750.00","37,672.00","258,145.00",378.51,"86,858.00","-7,927.00",0.0035,0.132,0.0204,0.1398,0.0471,-0.0043,0.0035,0.1321,0.0204,0.1399,0.0471,-0.0043
IA1963,1963,16-2,16,IA,0.003706627,0.096372294,16.26333333,0.900392157,0.147054964,56272.82,39972,0.000004,1,2.61E-06,"2,747.00",6670,"6,649,259.00","20,741.00","7,270.00","546,108.00","50,187.00","548,087.00",199.52,"145,223.00","5,291.00",0.0011,0.0819,0.0075,0.0822,0.0218,0.0008,0.0011,0.0821,0.0075,0.0824,0.0218,0.0008
ID1963,1963,13-2,13,ID,0.11606146,0.368373484,16.26333333,0.900392157,2.219226807,83570.14,14712,0.000151,1,2.66E-05,683,1461,"1,433,914.00","27,086.00","4,961.00","157,318.00","27,015.00","165,679.00",242.58,"41,609.00","-3,400.00",0.0034,0.1077,0.0185,0.1134,0.0285,-0.0023,0.0035,0.1097,0.0188,0.1155,0.029,-0.0024
IL1963,1963,14-2,14,IL,0.108799921,2.409141115,16.26333333,0.900392157,3.938621152,56341.77,195356,0.00002,1,6.99E-05,"10,402.00",30668,"30,452,479.00","215,521.00","14,184.00","1,832,793.00",0,"1,780,371.00",171.16,"486,159.00","66,606.00",0.0005,0.0598,0,0.0581,0.0159,0.0022,0.0005,0.0602,0,0.0585,0.016,0.0022
IN1963,1963,15-2,15,IN,0.078307949,1.157872406,16.26333333,0.900392157,2.316087508,36183.72,79904,0.000029,0,6.40E-05,"4,799.00",11916,"11,850,255.00","65,745.00","8,560.00","770,462.00",0,"800,589.00",166.82,"320,345.00","-21,567.00",0.0007,0.0647,0,0.0672,0.0269,-0.0018,0.0007,0.065,0,0.0676,0.027,-0.0018
KS1963,1963,17-2,17,KS,0.426503298,11.18250528,16.26333333,0.900392157,17.00500536,82277.97,37067,0.000459,0,0.000206678,"2,217.00",5211,"5,117,739.00","93,261.00","3,929.00","384,384.00","39,215.00","391,813.00",176.73,"125,225.00","-3,500.00",0.0008,0.0738,0.0075,0.0752,0.024,-0.0007,0.0008,0.0751,0.0077,0.0766,0.0245,-0.0007
KY1963,1963,18-2,18,KY,0.030251886,4.769580232,16.26333333,0.900392157,4.786489131,40409.65,47041,0.000102,0,0.000118449,"3,096.00",5846,"5,673,702.00","172,298.00","11,057.00","572,685.00","68,873.00","693,644.00",224.05,"198,080.00","-109,902.00",0.0019,0.098,0.0118,0.1187,0.0339,-0.0188,0.0019,0.1009,0.0121,0.1223,0.0349,-0.0194
LA1963,1963,19-2,19,LA,0.459191611,40.80654176,16.26333333,0.900392157,44.20987639,46776.06,53553,0.000826,1,0.000945139,"3,377.00",6416,"6,081,920.00","334,080.00","169,510.00","792,130.00","36,046.00","936,825.00",277.41,"287,004.00","24,815.00",0.0264,0.1235,0.0056,0.146,0.0447,0.0039,0.0279,0.1302,0.0059,0.154,0.0472,0.0041
MA1963,1963,22-2,22,MA,0,0.000665715,16.26333333,0.900392157,0.000599405,8103.95,110865,0,1,7.40E-08,"5,344.00",14872,"14,859,764.00","12,236.00","11,507.00","1,038,096.00","222,165.00","1,078,438.00",201.8,"128,615.00","-28,835.00",0.0008,0.0698,0.0149,0.0725,0.0086,-0.0019,0.0008,0.0699,0.015,0.0726,0.0087,-0.0019
MD1963,1963,21-2,21,MD,0.000418835,0.72493373,16.26333333,0.900392157,0.659536302,9899.54,87156,0.000008,1,6.66E-05,"3,386.00",8996,"8,976,991.00","19,009.00","11,519.00","694,972.00","133,575.00","684,132.00",202.05,"182,952.00","22,359.00",0.0013,0.0773,0.0148,0.076,0.0203,0.0025,0.0013,0.0774,0.0149,0.0762,0.0204,0.0025
ME1963,1963,20-2,20,ME,0,0,16.26333333,0.900392157,0,32489.12,16347,0,0,0,993,2016,"2,014,239.00","1,761.00","3,000.00","210,619.00",0,"211,908.00",213.4,"43,400.00","1,711.00",0.0015,0.1045,0,0.1051,0.0215,0.0008,0.0015,0.1046,0,0.1052,0.0215,0.0008
MI1963,1963,23-2,23,MI,0.415027316,4.785279721,16.26333333,0.900392157,11.05835592,58128.82,140139,0.000079,1,0.000190239,"8,058.00",22037,"21,936,688.00","100,312.00","16,824.00","2,025,924.00",0,"1,899,326.00",235.71,"664,247.00","143,422.00",0.0008,0.0919,0,0.0862,0.0301,0.0065,0.0008,0.0924,0,0.0866,0.0303,0.0065
MN1963,1963,24-2,24,MN,0.028953992,0.243213532,16.26333333,0.900392157,0.689875979,84376.21,73190,0.000009,0,8.18E-06,"3,531.00",8635,"8,526,536.00","108,464.00","34,563.00","731,469.00","182,329.00","699,909.00",198.22,"265,862.00","66,123.00",0.004,0.0847,0.0211,0.0811,0.0308,0.0077,0.0041,0.0858,0.0214,0.0821,0.0312,0.0078
MO1963,1963,26-2,26,MO,0.024463253,0.611396924,16.26333333,0.900392157,0.948351036,69702.89,74990,0.000013,1,1.36E-05,"4,392.00",10839,"10,788,589.00","50,411.00","8,150.00","726,088.00","76,226.00","723,638.00",164.76,"202,760.00","10,600.00",0.0008,0.067,0.007,0.0668,0.0187,0.001,0.0008,0.0673,0.0071,0.0671,0.0188,0.001
MS1963,1963,25-2,25,MS,0.33496284,33.90408534,16.26333333,0.900392157,35.97458486,47675.31,29216,0.001231,0,0.000754575,"2,244.00",3330,"3,285,857.00","44,143.00","17,440.00","390,293.00","20,960.00","399,878.00",178.2,"137,144.00","7,855.00",0.0052,0.1172,0.0063,0.1201,0.0412,0.0024,0.0053,0.1188,0.0064,0.1217,0.0417,0.0024
MT1963,1963,27-2,27,MT,2.442936563,22.42950468,16.26333333,0.900392157,59.92564173,147042.71,10814,0.005542,1,0.000407539,703,1631,"1,579,282.00","51,718.00","7,987.00","185,736.00","18,657.00","182,613.00",259.76,"44,476.00","11,110.00",0.0049,0.1139,0.0114,0.112,0.0273,0.0068,0.0051,0.1176,0.0118,0.1156,0.0282,0.007
NC1963,1963,34-2,34,NC,0,1.292201516,16.26333333,0.900392157,1.16348811,49339.57,99087,0.000012,1,2.36E-05,"4,742.00",8850,"8,833,860.00","16,140.00","15,503.00","889,220.00","166,580.00","816,202.00",172.12,"355,180.00","88,521.00",0.0018,0.1005,0.0188,0.0922,0.0401,0.01,0.0018,0.1007,0.0189,0.0924,0.0402,0.01
ND1963,1963,35-2,35,ND,3.881533345,4.392934312,16.26333333,0.900392157,67.08203423,70700.02,8471,0.007919,1,0.000948826,644,1403,"1,391,329.00","11,671.00","9,867.00","153,389.00","7,960.00","160,741.00",249.6,"49,381.00","2,515.00",0.007,0.1093,0.0057,0.1146,0.0352,0.0018,0.0071,0.1102,0.0057,0.1155,0.0355,0.0018
NE1963,1963,28-2,28,NE,0.160779746,0.931552758,16.26333333,0.900392157,3.453577397,77353.01,23772,0.000145,1,4.46E-05,"1,476.00",3494,"3,479,493.00","14,507.00","5,889.00","209,032.00",0,"224,003.00",151.76,"48,660.00","-9,082.00",0.0017,0.0598,0,0.0641,0.0139,-0.0026,0.0017,0.0601,0,0.0644,0.014,-0.0026
NH1963,1963,30-2,30,NH,0,0,16.26333333,0.900392157,0,9266.56,18352,0,0,0,649,1569,"1,566,931.00","2,069.00","1,164.00","135,092.00","1,743.00","138,183.00",212.92,"19,270.00","-1,927.00",0.0007,0.0861,0.0011,0.0881,0.0123,-0.0012,0.0007,0.0862,0.0011,0.0882,0.0123,-0.0012
NJ1963,1963,31-2,31,NJ,0,0.002346065,16.26333333,0.900392157,0.002112378,7553.07,150585,0,1,2.80E-07,"6,531.00",19331,"19,297,657.00","33,343.00","12,039.00","1,045,307.00","38,269.00","966,786.00",148.03,"204,999.00","90,560.00",0.0006,0.0541,0.002,0.05,0.0106,0.0047,0.0006,0.0542,0.002,0.0501,0.0106,0.0047
NM1963,1963,32-2,32,NM,0.369951053,48.54193411,16.26333333,0.900392157,49.72341404,121588.62,19869,0.002503,0,0.000408948,989,2025,"1,892,790.00","132,210.00","32,908.00","281,071.00","14,210.00","297,721.00",301.03,"134,921.00","16,258.00",0.0163,0.1388,0.007,0.147,0.0666,0.008,0.0174,0.1485,0.0075,0.1573,0.0713,0.0086
NV1963,1963,29-2,29,NV,0.983968242,1.247726361,16.26333333,0.900392157,17.12604655,110561.37,25995,0.000659,1,0.000154901,397,1276,"1,249,098.00","26,902.00","1,662.00","129,483.00",0,"120,772.00",304.21,"35,272.00","10,373.00",0.0013,0.1015,0,0.0946,0.0276,0.0081,0.0013,0.1037,0,0.0967,0.0282,0.0083
NY1963,1963,33-2,33,NY,0.008341911,11.40777589,16.26333333,0.900392157,10.40713922,48578.82,325089,0.000032,1,0.000214232,"17,461.00",54369,"54,274,452.00","94,548.00","44,013.00","4,324,224.00","1,441,947.00","4,136,384.00",236.89,"1,300,519.00","231,853.00",0.0008,0.0795,0.0265,0.0761,0.0239,0.0043,0.0008,0.0797,0.0266,0.0762,0.024,0.0043
OH1963,1963,36-2,36,OH,0.028486069,9.629084426,16.26333333,0.900392157,9.133230526,41256.24,159856,0.000057,1,0.000221378,"9,986.00",25960,"25,814,078.00","145,922.00","14,079.00","2,075,050.00",0,"1,910,976.00",191.37,"363,192.00","178,153.00",0.0005,0.0799,0,0.0736,0.014,0.0069,0.0005,0.0804,0,0.074,0.0141,0.0069
OK1963,1963,37-2,37,OK,0.531002624,30.2623191,16.26333333,0.900392157,35.88382744,69900.14,42287,0.000849,1,0.000513358,"2,439.00",4979,"4,665,164.00","313,836.00","46,693.00","540,361.00","39,696.00","609,065.00",249.72,"168,315.00","-22,011.00",0.0094,0.1085,0.008,0.1223,0.0338,-0.0044,0.01,0.1158,0.0085,0.1306,0.0361,-0.0047
OR1963,1963,38-2,38,OR,0.022062439,1.994210966,16.26333333,0.900392157,2.154380717,97076.81,44398,0.000049,1,2.22E-05,"1,853.00",4676,"4,665,270.00","10,730.00","20,474.00","548,630.00","121,835.00","543,191.00",293.14,"152,960.00","25,913.00",0.0044,0.1173,0.0261,0.1162,0.0327,0.0055,0.0044,0.1176,0.0261,0.1164,0.0328,0.0056
